threshold,accuracy,precision_pos,recall_pos,f1_pos,confusion_matrix
0.7000000000000002,0.5128205128205128,1.0,0.017241379310344827,0.03389830508474576,"[[59, 0], [57, 1]]"
0.7100000000000002,0.5128205128205128,1.0,0.017241379310344827,0.03389830508474576,"[[59, 0], [57, 1]]"
0.7200000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7300000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7400000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7500000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7600000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7700000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7800000000000001,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.7900000000000001,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8000000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8100000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8200000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8300000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8400000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8500000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8600000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8700000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8800000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.8900000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9000000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9100000000000003,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9200000000000003,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9300000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9400000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
0.9500000000000002,0.5042735042735043,0.0,0.0,0.0,"[[59, 0], [58, 0]]"
